regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,13074,3238916,905967
Niterói,4435,292082,124013
São Gonçalo,1695,450076,109147
Nova Iguaçu,565,420248,60381
Duque De Caxias,551,453177,66049
Campos Dos Goytacazes,374,258549,42695
São João De Meriti,312,252282,29380
Itaboraí,280,124891,17737
Maricá,277,105428,59401
Volta Redonda,252,160396,41402
Macaé,241,114597,28299
Belford Roxo,221,233136,21103
Nilópolis,175,94229,11692
Cabo Frio,169,115197,20715
Araruama,165,71261,8940
Petrópolis,158,157358,38668
Rio Das Ostras,133,64968,12491
Mesquita,133,96039,11870
Magé,111,139536,19800
Nova Friburgo,109,101787,27723
Barra Mansa,108,93681,25059
Teresópolis,103,85429,13719
Saquarema,94,51468,6701
Angra Dos Reis,85,90029,11832
Resende,66,67289,5864
Itaguaí,62,65174,6823
Seropédica,61,40505,5485
Rio Bonito,60,32863,5014
Barra Do Piraí,56,46558,7917
Cachoeiras De Macacu,50,31639,4590
Arraial Do Cabo,49,22383,4582
Valença,49,37021,5396
São Pedro Da Aldeia,49,49470,6596
Japeri,42,51894,10906
Armação Dos Búzios,42,23063,3920
Queimados,39,72007,8793
Iguaba Grande,38,19455,1911
Sapucaia,38,11595,2335
Casimiro De Abreu,34,23707,4642
Guapimirim,32,30417,3044
Itaperuna,32,53372,5044
Três Rios,31,42570,6416
Santo Antônio De Pádua,28,23098,2887
Paraty,28,22451,4418
São Fidélis,27,22276,1608
Bom Jesus Do Itabapoana,26,21527,3360
Miguel Pereira,25,16985,4780
Vassouras,22,20766,6124
Paracambi,21,24228,7271
Carmo,21,10486,3306
Miracema,20,15936,2761
Paraíba Do Sul,19,23050,3773
Mangaratiba,18,26985,2556
Tanguá,17,18860,2952
Cordeiro,16,12451,1313
Quissamã,15,13485,2311
Itatiaia,13,18177,2477
São João Da Barra,13,28262,12975
São Francisco De Itabapoana,12,26570,2971
Itaocara,11,14797,1012
Engenheiro Paulo De Frontin,11,8231,1614
Porciúncula,10,9569,1550
Conceição De Macabu,10,12371,3117
São José Do Vale Do Rio Preto,10,11710,1240
Pinheiral,8,13179,2728
Natividade,8,8996,1126
Piraí,7,16450,2083
Paty Do Alferes,6,17090,6650
Mendes,6,10919,3589
Porto Real,6,12814,1789
Silva Jardim,6,13695,1804
Cantagalo,5,11201,1378
Italva,5,8281,771
Cambuci,5,9258,869
Laje Do Muriaé,5,5197,1025
Trajano De Moraes,4,6568,686
Cardoso Moreira,4,8583,1091
Bom Jardim,4,14753,1711
Rio Claro,3,10645,1505
Varre-Sai,3,6044,902
Carapebus,3,9252,3549
Duas Barras,3,7187,685
São Sebastião Do Alto,3,6000,295
Rio Das Flores,3,5955,969
Comendador Levy Gasparian,2,6142,926
Santa Maria Madalena,2,6486,887
Quatis,2,7953,1037
Sumidouro,1,10163,1357
Aperibé,1,7653,345
Macuco,1,5431,396
Areal,1,7000,1145
São José De Ubá,0,5640,810
