regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,80492,3263787,993523
Niterói,6952,295456,123293
São Gonçalo,3557,446137,129176
Duque De Caxias,2803,455202,122391
Nova Iguaçu,1946,420666,75078
Petrópolis,1405,158473,31799
São João De Meriti,1224,250527,38681
Teresópolis,1034,86286,13240
Rio Das Ostras,894,65085,14703
Volta Redonda,841,159882,34129
Magé,809,137748,21456
Nilópolis,782,92890,14411
Cabo Frio,743,115183,18513
Maricá,703,104657,49269
Macaé,648,118678,33240
Belford Roxo,623,234488,25227
Nova Friburgo,558,102347,30423
Campos Dos Goytacazes,550,257600,47436
Itaboraí,549,122626,24756
Mesquita,526,96706,13851
Araruama,409,71618,17553
Barra Mansa,408,94359,18531
Angra Dos Reis,392,90631,12628
Resende,349,66490,10090
Saquarema,339,50538,9080
Itaguaí,305,65604,8382
Seropédica,277,41215,5243
Valença,266,36468,6674
Miguel Pereira,237,16963,3324
Queimados,217,72212,7948
Japeri,215,52261,7806
Barra Do Piraí,208,48439,5965
Armação Dos Búzios,204,23256,3492
Rio Bonito,178,32937,4221
São Pedro Da Aldeia,177,49615,5168
Cachoeiras De Macacu,175,32284,4467
Casimiro De Abreu,161,23706,4297
Guapimirim,157,30359,3243
Paracambi,156,24375,4018
Mangaratiba,149,26877,3904
Três Rios,147,43771,6477
Arraial Do Cabo,139,22543,3561
Itaperuna,138,53135,5371
Iguaba Grande,122,19387,2589
Paraty,121,22984,4473
Mendes,112,11059,1538
Paraíba Do Sul,98,23751,3008
Vassouras,96,20840,3317
Itatiaia,91,17991,3052
Bom Jesus Do Itabapoana,86,21408,3634
Paty Do Alferes,75,16931,1957
Piraí,73,16313,2486
Santo Antônio De Pádua,69,22880,3003
São Fidélis,59,22119,2314
Bom Jardim,53,14541,3309
Tanguá,50,18889,2113
Sapucaia,49,11697,1918
Engenheiro Paulo De Frontin,45,8259,993
Quatis,43,7918,1237
Conceição De Macabu,42,12524,1896
Santa Maria Madalena,40,6498,842
Pinheiral,40,13312,3002
Porto Real,40,12748,1759
Quissamã,36,13601,2181
São João Da Barra,33,27605,5243
São Francisco De Itabapoana,31,25911,3348
Rio Claro,30,10675,1713
Miracema,30,15652,2564
São José Do Vale Do Rio Preto,29,11892,809
Cambuci,29,9207,1311
Carmo,29,10728,2149
Areal,28,7101,1182
Itaocara,28,14463,1503
Cantagalo,26,11161,1719
Silva Jardim,26,13669,1773
Rio Das Flores,25,5987,613
Natividade,22,9066,1563
Cordeiro,21,12345,2139
Trajano De Moraes,20,6524,857
Sumidouro,20,10347,1090
Comendador Levy Gasparian,19,6207,456
Porciúncula,18,9531,1941
Carapebus,13,9392,1330
Italva,12,8376,711
Aperibé,11,7429,628
Laje Do Muriaé,9,5240,687
Varre-Sai,9,6057,563
Macuco,8,5372,626
São Sebastião Do Alto,6,5961,384
Cardoso Moreira,4,8654,509
Duas Barras,3,7282,787
São José De Ubá,2,5668,384
