regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,32913,3238916,905967
Duque De Caxias,1357,453177,66049
Niterói,1270,292082,124013
Nova Iguaçu,1184,420248,60381
Nilópolis,1130,94229,11692
São João De Meriti,949,252282,29380
Valença,900,37021,5396
Volta Redonda,871,160396,41402
São Gonçalo,841,450076,109147
Itaperuna,749,53372,5044
Campos Dos Goytacazes,643,258549,42695
Petrópolis,509,157358,38668
Teresópolis,483,85429,13719
Belford Roxo,431,233136,21103
Mesquita,319,96039,11870
Macaé,315,114597,28299
Cabo Frio,309,115197,20715
Magé,289,139536,19800
Rio Das Ostras,286,64968,12491
Barra Do Piraí,283,46558,7917
Barra Mansa,236,93681,25059
Angra Dos Reis,228,90029,11832
Nova Friburgo,226,101787,27723
Maricá,201,105428,59401
Itaboraí,199,124891,17737
Resende,157,67289,5864
Itaguaí,146,65174,6823
Queimados,138,72007,8793
Saquarema,121,51468,6701
Araruama,118,71261,8940
Piraí,117,16450,2083
São Pedro Da Aldeia,114,49470,6596
Seropédica,97,40505,5485
Armação Dos Búzios,90,23063,3920
Natividade,90,8996,1126
Paraty,87,22451,4418
Miguel Pereira,86,16985,4780
Japeri,82,51894,10906
Vassouras,65,20766,6124
Casimiro De Abreu,64,23707,4642
Mangaratiba,64,26985,2556
Itatiaia,62,18177,2477
Rio Das Flores,61,5955,969
Pinheiral,61,13179,2728
Três Rios,61,42570,6416
Santo Antônio De Pádua,60,23098,2887
Laje Do Muriaé,57,5197,1025
Porto Real,56,12814,1789
Arraial Do Cabo,56,22383,4582
Bom Jesus Do Itabapoana,52,21527,3360
Cachoeiras De Macacu,50,31639,4590
Miracema,49,15936,2761
Paracambi,45,24228,7271
Rio Bonito,43,32863,5014
Mendes,42,10919,3589
Guapimirim,37,30417,3044
São Fidélis,37,22276,1608
Porciúncula,37,9569,1550
Quissamã,31,13485,2311
Paty Do Alferes,31,17090,6650
Bom Jardim,28,14753,1711
Iguaba Grande,28,19455,1911
Conceição De Macabu,27,12371,3117
Paraíba Do Sul,26,23050,3773
São João Da Barra,24,28262,12975
Tanguá,23,18860,2952
Italva,23,8281,771
Rio Claro,22,10645,1505
Carmo,21,10486,3306
Quatis,21,7953,1037
Cordeiro,18,12451,1313
Cambuci,18,9258,869
Comendador Levy Gasparian,16,6142,926
São Francisco De Itabapoana,14,26570,2971
Varre-Sai,14,6044,902
Silva Jardim,13,13695,1804
Sapucaia,13,11595,2335
Cantagalo,13,11201,1378
São José De Ubá,12,5640,810
Carapebus,12,9252,3549
Engenheiro Paulo De Frontin,9,8231,1614
Cardoso Moreira,9,8583,1091
Itaocara,8,14797,1012
Aperibé,6,7653,345
Santa Maria Madalena,6,6486,887
São José Do Vale Do Rio Preto,6,11710,1240
Sumidouro,6,10163,1357
Areal,5,7000,1145
Trajano De Moraes,5,6568,686
Macuco,4,5431,396
Duas Barras,3,7187,685
São Sebastião Do Alto,2,6000,295
