regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,33827,3263787,993523
Nova Friburgo,9939,102347,30423
Niterói,3970,295456,123293
São Gonçalo,2214,446137,129176
Duque De Caxias,2127,455202,122391
Nova Iguaçu,1651,420666,75078
Petrópolis,1251,158473,31799
Volta Redonda,1090,159882,34129
Macaé,1044,118678,33240
Rio Das Ostras,985,65085,14703
Campos Dos Goytacazes,971,257600,47436
São João De Meriti,967,250527,38681
Cabo Frio,862,115183,18513
Teresópolis,845,86286,13240
Cachoeiras De Macacu,665,32284,4467
Bom Jardim,657,14541,3309
Cordeiro,656,12345,2139
Belford Roxo,654,234488,25227
Cantagalo,530,11161,1719
Angra Dos Reis,515,90631,12628
Maricá,505,104657,49269
Três Rios,504,43771,6477
Nilópolis,503,92890,14411
Itaboraí,485,122626,24756
Sumidouro,456,10347,1090
Queimados,435,72212,7948
Araruama,421,71618,17553
Barra Mansa,413,94359,18531
Itaperuna,395,53135,5371
Mesquita,370,96706,13851
Magé,369,137748,21456
Resende,325,66490,10090
São Fidélis,307,22119,2314
Itaocara,306,14463,1503
Arraial Do Cabo,302,22543,3561
Duas Barras,267,7282,787
Paraty,264,22984,4473
Valença,257,36468,6674
Itaguaí,247,65604,8382
São Pedro Da Aldeia,241,49615,5168
Saquarema,229,50538,9080
Miracema,223,15652,2564
Santo Antônio De Pádua,222,22880,3003
Carmo,218,10728,2149
Miguel Pereira,215,16963,3324
Barra Do Piraí,207,48439,5965
Armação Dos Búzios,192,23256,3492
Macuco,191,5372,626
Rio Bonito,176,32937,4221
Cambuci,176,9207,1311
Casimiro De Abreu,172,23706,4297
Mangaratiba,163,26877,3904
Seropédica,156,41215,5243
Bom Jesus Do Itabapoana,143,21408,3634
Porciúncula,134,9531,1941
Paracambi,128,24375,4018
Paraíba Do Sul,119,23751,3008
Japeri,114,52261,7806
Santa Maria Madalena,113,6498,842
Areal,109,7101,1182
São João Da Barra,107,27605,5243
Pinheiral,106,13312,3002
Guapimirim,104,30359,3243
Aperibé,100,7429,628
Trajano De Moraes,97,6524,857
São Sebastião Do Alto,95,5961,384
Iguaba Grande,93,19387,2589
Itatiaia,92,17991,3052
Vassouras,91,20840,3317
Piraí,84,16313,2486
Silva Jardim,75,13669,1773
Natividade,71,9066,1563
Rio Claro,68,10675,1713
Paty Do Alferes,65,16931,1957
São José Do Vale Do Rio Preto,63,11892,809
Sapucaia,60,11697,1918
Mendes,58,11059,1538
São Francisco De Itabapoana,58,25911,3348
Quissamã,45,13601,2181
Porto Real,41,12748,1759
Conceição De Macabu,40,12524,1896
Tanguá,35,18889,2113
Laje Do Muriaé,30,5240,687
Comendador Levy Gasparian,28,6207,456
São José De Ubá,27,5668,384
Italva,25,8376,711
Engenheiro Paulo De Frontin,23,8259,993
Varre-Sai,21,6057,563
Cardoso Moreira,19,8654,509
Quatis,13,7918,1237
Rio Das Flores,12,5987,613
Carapebus,10,9392,1330
