regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,28767,3263787,993523
Niterói,4239,295456,123293
São Gonçalo,2074,446137,129176
Duque De Caxias,1940,455202,122391
Nova Iguaçu,1612,420666,75078
Petrópolis,1271,158473,31799
Volta Redonda,1161,159882,34129
São João De Meriti,1100,250527,38681
Campos Dos Goytacazes,769,257600,47436
Macaé,708,118678,33240
Belford Roxo,662,234488,25227
Teresópolis,574,86286,13240
Cabo Frio,569,115183,18513
Rio Das Ostras,550,65085,14703
Nilópolis,541,92890,14411
Maricá,447,104657,49269
Barra Mansa,401,94359,18531
Mesquita,394,96706,13851
Magé,382,137748,21456
Itaboraí,369,122626,24756
Angra Dos Reis,337,90631,12628
Nova Friburgo,306,102347,30423
Valença,287,36468,6674
Queimados,261,72212,7948
Resende,236,66490,10090
Itaperuna,224,53135,5371
Araruama,207,71618,17553
Rio Bonito,175,32937,4221
Itaguaí,170,65604,8382
Barra Do Piraí,164,48439,5965
Seropédica,156,41215,5243
Saquarema,148,50538,9080
São Pedro Da Aldeia,147,49615,5168
Três Rios,142,43771,6477
Paraty,126,22984,4473
Japeri,112,52261,7806
Armação Dos Búzios,111,23256,3492
Paracambi,94,24375,4018
Guapimirim,93,30359,3243
Mangaratiba,89,26877,3904
Porto Real,81,12748,1759
Miguel Pereira,80,16963,3324
Arraial Do Cabo,79,22543,3561
Casimiro De Abreu,77,23706,4297
Piraí,76,16313,2486
Cachoeiras De Macacu,76,32284,4467
Pinheiral,67,13312,3002
Bom Jesus Do Itabapoana,65,21408,3634
Itatiaia,65,17991,3052
Vassouras,64,20840,3317
Quatis,62,7918,1237
São Fidélis,58,22119,2314
Iguaba Grande,52,19387,2589
Paraíba Do Sul,50,23751,3008
Miracema,47,15652,2564
São Francisco De Itabapoana,47,25911,3348
Tanguá,46,18889,2113
Conceição De Macabu,43,12524,1896
Mendes,43,11059,1538
São João Da Barra,41,27605,5243
Santo Antônio De Pádua,41,22880,3003
Natividade,41,9066,1563
Cambuci,37,9207,1311
Sapucaia,32,11697,1918
Engenheiro Paulo De Frontin,31,8259,993
Paty Do Alferes,31,16931,1957
Rio Claro,29,10675,1713
Porciúncula,29,9531,1941
Quissamã,29,13601,2181
Carapebus,27,9392,1330
Rio Das Flores,26,5987,613
Bom Jardim,26,14541,3309
São José Do Vale Do Rio Preto,25,11892,809
Silva Jardim,24,13669,1773
Itaocara,24,14463,1503
Cordeiro,18,12345,2139
Italva,17,8376,711
Cantagalo,16,11161,1719
Carmo,14,10728,2149
Areal,13,7101,1182
Comendador Levy Gasparian,13,6207,456
Cardoso Moreira,10,8654,509
Aperibé,10,7429,628
Laje Do Muriaé,7,5240,687
Santa Maria Madalena,6,6498,842
Macuco,5,5372,626
Trajano De Moraes,5,6524,857
São José De Ubá,4,5668,384
Duas Barras,3,7282,787
Varre-Sai,3,6057,563
São Sebastião Do Alto,2,5961,384
Sumidouro,1,10347,1090
