regiao,votos_candidato,votos_validos,votos_esquerda
São Gonçalo,19323,450076,109147
Rio De Janeiro,2908,3238916,905967
Niterói,2225,292082,124013
Itaboraí,648,124891,17737
Nova Iguaçu,355,420248,60381
Maricá,326,105428,59401
Casimiro De Abreu,229,23707,4642
Belford Roxo,182,233136,21103
Angra Dos Reis,164,90029,11832
Iguaba Grande,152,19455,1911
Itaocara,147,14797,1012
Duque De Caxias,118,453177,66049
São João De Meriti,116,252282,29380
Sumidouro,109,10163,1357
Porciúncula,100,9569,1550
Araruama,92,71261,8940
Macaé,79,114597,28299
Cabo Frio,78,115197,20715
São Pedro Da Aldeia,71,49470,6596
Magé,69,139536,19800
Nova Friburgo,63,101787,27723
Saquarema,59,51468,6701
Mendes,55,10919,3589
Mesquita,50,96039,11870
Cachoeiras De Macacu,45,31639,4590
Petrópolis,44,157358,38668
Rio Das Ostras,43,64968,12491
Campos Dos Goytacazes,39,258549,42695
Valença,39,37021,5396
Rio Bonito,36,32863,5014
Nilópolis,34,94229,11692
Tanguá,31,18860,2952
Silva Jardim,29,13695,1804
Armação Dos Búzios,23,23063,3920
Cambuci,22,9258,869
Volta Redonda,21,160396,41402
Itaguaí,18,65174,6823
Guapimirim,18,30417,3044
Arraial Do Cabo,17,22383,4582
Teresópolis,17,85429,13719
Santa Maria Madalena,17,6486,887
Queimados,15,72007,8793
Seropédica,12,40505,5485
Itaperuna,11,53372,5044
Santo Antônio De Pádua,10,23098,2887
Três Rios,9,42570,6416
Bom Jardim,9,14753,1711
Piraí,9,16450,2083
Barra Do Piraí,9,46558,7917
Quissamã,9,13485,2311
Resende,8,67289,5864
Vassouras,7,20766,6124
Paty Do Alferes,7,17090,6650
Japeri,7,51894,10906
Mangaratiba,6,26985,2556
Miguel Pereira,6,16985,4780
Paracambi,5,24228,7271
São Fidélis,5,22276,1608
Cantagalo,5,11201,1378
Barra Mansa,5,93681,25059
Bom Jesus Do Itabapoana,4,21527,3360
Rio Claro,4,10645,1505
Conceição De Macabu,4,12371,3117
Duas Barras,3,7187,685
Paraty,3,22451,4418
São José De Ubá,3,5640,810
Carmo,3,10486,3306
Miracema,3,15936,2761
São João Da Barra,2,28262,12975
Itatiaia,2,18177,2477
Cordeiro,2,12451,1313
Engenheiro Paulo De Frontin,2,8231,1614
Aperibé,1,7653,345
Macuco,1,5431,396
Pinheiral,1,13179,2728
Carapebus,1,9252,3549
Trajano De Moraes,1,6568,686
Italva,1,8281,771
Paraíba Do Sul,1,23050,3773
Natividade,1,8996,1126
Sapucaia,1,11595,2335
São Francisco De Itabapoana,0,26570,2971
Laje Do Muriaé,0,5197,1025
São José Do Vale Do Rio Preto,0,11710,1240
Cardoso Moreira,0,8583,1091
Porto Real,0,12814,1789
Areal,0,7000,1145
Rio Das Flores,0,5955,969
Comendador Levy Gasparian,0,6142,926
Quatis,0,7953,1037
Varre-Sai,0,6044,902
São Sebastião Do Alto,0,6000,295
