regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,17093,3238916,905967
Niterói,907,292082,124013
São Gonçalo,569,450076,109147
Duque De Caxias,560,453177,66049
Três Rios,549,42570,6416
Nova Iguaçu,409,420248,60381
Petrópolis,305,157358,38668
Volta Redonda,302,160396,41402
São João De Meriti,291,252282,29380
Nilópolis,145,94229,11692
Campos Dos Goytacazes,139,258549,42695
Belford Roxo,138,233136,21103
Rio Das Ostras,129,64968,12491
Macaé,124,114597,28299
Paraíba Do Sul,124,23050,3773
Cabo Frio,107,115197,20715
Itaboraí,106,124891,17737
Maricá,95,105428,59401
Nova Friburgo,95,101787,27723
Angra Dos Reis,86,90029,11832
Mesquita,85,96039,11870
Teresópolis,83,85429,13719
Barra Mansa,77,93681,25059
Magé,70,139536,19800
Queimados,67,72007,8793
Resende,61,67289,5864
Araruama,58,71261,8940
Sapucaia,57,11595,2335
São Pedro Da Aldeia,56,49470,6596
Itaguaí,56,65174,6823
Miguel Pereira,46,16985,4780
Porto Real,44,12814,1789
Itatiaia,44,18177,2477
Seropédica,43,40505,5485
Barra Do Piraí,38,46558,7917
Cachoeiras De Macacu,38,31639,4590
Saquarema,35,51468,6701
Vassouras,30,20766,6124
Japeri,30,51894,10906
Guapimirim,29,30417,3044
Paracambi,27,24228,7271
Comendador Levy Gasparian,25,6142,926
Itaperuna,25,53372,5044
Cordeiro,24,12451,1313
Paty Do Alferes,22,17090,6650
Mangaratiba,21,26985,2556
Valença,21,37021,5396
Quatis,19,7953,1037
Paraty,19,22451,4418
Piraí,18,16450,2083
Pinheiral,18,13179,2728
Cantagalo,18,11201,1378
Rio Bonito,17,32863,5014
Areal,17,7000,1145
Casimiro De Abreu,17,23707,4642
São Fidélis,17,22276,1608
Tanguá,17,18860,2952
Arraial Do Cabo,16,22383,4582
Armação Dos Búzios,16,23063,3920
Bom Jardim,13,14753,1711
Carmo,11,10486,3306
Quissamã,10,13485,2311
Santo Antônio De Pádua,9,23098,2887
Engenheiro Paulo De Frontin,8,8231,1614
Itaocara,7,14797,1012
Silva Jardim,6,13695,1804
Iguaba Grande,6,19455,1911
São José Do Vale Do Rio Preto,6,11710,1240
Mendes,6,10919,3589
Natividade,6,8996,1126
São Francisco De Itabapoana,5,26570,2971
Miracema,5,15936,2761
Rio Das Flores,4,5955,969
Rio Claro,4,10645,1505
Cambuci,4,9258,869
Sumidouro,4,10163,1357
São Sebastião Do Alto,3,6000,295
Conceição De Macabu,3,12371,3117
Laje Do Muriaé,3,5197,1025
Bom Jesus Do Itabapoana,3,21527,3360
Duas Barras,3,7187,685
São João Da Barra,2,28262,12975
Santa Maria Madalena,2,6486,887
Macuco,2,5431,396
Carapebus,1,9252,3549
Italva,1,8281,771
São José De Ubá,0,5640,810
Aperibé,0,7653,345
Cardoso Moreira,0,8583,1091
Varre-Sai,0,6044,902
Porciúncula,0,9569,1550
Trajano De Moraes,0,6568,686
