regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,129717,3238916,905967
Niterói,5894,292082,124013
Nova Iguaçu,3671,420248,60381
Duque De Caxias,3505,453177,66049
São Gonçalo,3177,450076,109147
Macaé,2580,114597,28299
São João De Meriti,2468,252282,29380
Campos Dos Goytacazes,1606,258549,42695
Belford Roxo,1334,233136,21103
Volta Redonda,1109,160396,41402
Cabo Frio,1064,115197,20715
Petrópolis,1043,157358,38668
Rio Das Ostras,958,64968,12491
Nilópolis,911,94229,11692
Itaboraí,856,124891,17737
Mesquita,852,96039,11870
Três Rios,824,42570,6416
Angra Dos Reis,743,90029,11832
Magé,741,139536,19800
Nova Friburgo,697,101787,27723
Teresópolis,667,85429,13719
Maricá,649,105428,59401
Barra Mansa,499,93681,25059
Itaguaí,456,65174,6823
Barra Do Piraí,446,46558,7917
Araruama,443,71261,8940
Seropédica,416,40505,5485
Queimados,395,72007,8793
Resende,393,67289,5864
São Pedro Da Aldeia,345,49470,6596
Saquarema,333,51468,6701
Armação Dos Búzios,252,23063,3920
Valença,229,37021,5396
Cachoeiras De Macacu,218,31639,4590
Miguel Pereira,203,16985,4780
Paraty,197,22451,4418
Mangaratiba,193,26985,2556
Arraial Do Cabo,190,22383,4582
Casimiro De Abreu,188,23707,4642
Japeri,188,51894,10906
Itaperuna,174,53372,5044
Rio Bonito,171,32863,5014
Paraíba Do Sul,168,23050,3773
Paracambi,161,24228,7271
Guapimirim,154,30417,3044
Santo Antônio De Pádua,133,23098,2887
Piraí,124,16450,2083
Bom Jesus Do Itabapoana,105,21527,3360
Vassouras,104,20766,6124
Cantagalo,102,11201,1378
Itatiaia,100,18177,2477
Iguaba Grande,100,19455,1911
Mendes,97,10919,3589
Rio Claro,96,10645,1505
Bom Jardim,95,14753,1711
Quissamã,93,13485,2311
Silva Jardim,90,13695,1804
Pinheiral,82,13179,2728
São Fidélis,80,22276,1608
Itaocara,79,14797,1012
Carmo,71,10486,3306
Cordeiro,62,12451,1313
Miracema,61,15936,2761
Tanguá,60,18860,2952
Natividade,59,8996,1126
Conceição De Macabu,59,12371,3117
Paty Do Alferes,58,17090,6650
Sapucaia,57,11595,2335
São João Da Barra,49,28262,12975
Carapebus,47,9252,3549
Porto Real,47,12814,1789
Cambuci,41,9258,869
Areal,40,7000,1145
São Francisco De Itabapoana,39,26570,2971
São José Do Vale Do Rio Preto,39,11710,1240
Comendador Levy Gasparian,38,6142,926
Santa Maria Madalena,37,6486,887
Engenheiro Paulo De Frontin,35,8231,1614
Quatis,35,7953,1037
Italva,34,8281,771
Duas Barras,31,7187,685
Porciúncula,30,9569,1550
Rio Das Flores,30,5955,969
Trajano De Moraes,24,6568,686
Sumidouro,23,10163,1357
Macuco,16,5431,396
Aperibé,15,7653,345
Laje Do Muriaé,13,5197,1025
Varre-Sai,9,6044,902
São Sebastião Do Alto,8,6000,295
Cardoso Moreira,4,8583,1091
São José De Ubá,3,5640,810
