regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,107420,3263787,993523
Niterói,22054,295456,123293
São Gonçalo,12237,446137,129176
Duque De Caxias,5520,455202,122391
Nova Iguaçu,4779,420666,75078
Petrópolis,3602,158473,31799
Volta Redonda,3446,159882,34129
São João De Meriti,2646,250527,38681
Macaé,2208,118678,33240
Itaboraí,1872,122626,24756
Barra Mansa,1704,94359,18531
Maricá,1696,104657,49269
Cabo Frio,1655,115183,18513
Belford Roxo,1645,234488,25227
Teresópolis,1509,86286,13240
Rio Das Ostras,1461,65085,14703
Campos Dos Goytacazes,1461,257600,47436
Nilópolis,1460,92890,14411
Angra Dos Reis,1302,90631,12628
Mesquita,1158,96706,13851
Magé,983,137748,21456
Três Rios,921,43771,6477
Resende,903,66490,10090
Araruama,849,71618,17553
Nova Friburgo,779,102347,30423
Itaguaí,635,65604,8382
Paraty,603,22984,4473
Rio Bonito,597,32937,4221
Queimados,585,72212,7948
Valença,577,36468,6674
Saquarema,547,50538,9080
Barra Do Piraí,516,48439,5965
São Pedro Da Aldeia,495,49615,5168
Seropédica,475,41215,5243
Armação Dos Búzios,386,23256,3492
Miguel Pereira,347,16963,3324
Paracambi,322,24375,4018
Cachoeiras De Macacu,317,32284,4467
Itaperuna,309,53135,5371
Japeri,295,52261,7806
Paraíba Do Sul,287,23751,3008
Mangaratiba,285,26877,3904
Casimiro De Abreu,276,23706,4297
Piraí,270,16313,2486
Arraial Do Cabo,260,22543,3561
Santo Antônio De Pádua,241,22880,3003
Guapimirim,241,30359,3243
Itatiaia,229,17991,3052
Pinheiral,219,13312,3002
Vassouras,213,20840,3317
Paty Do Alferes,181,16931,1957
Iguaba Grande,171,19387,2589
Miracema,168,15652,2564
Bom Jardim,167,14541,3309
São Fidélis,164,22119,2314
Cordeiro,155,12345,2139
Tanguá,149,18889,2113
Bom Jesus Do Itabapoana,144,21408,3634
Rio Claro,144,10675,1713
Silva Jardim,142,13669,1773
São João Da Barra,141,27605,5243
Cantagalo,140,11161,1719
Quissamã,139,13601,2181
Itaocara,131,14463,1503
Porto Real,126,12748,1759
Mendes,119,11059,1538
Quatis,114,7918,1237
Carmo,109,10728,2149
Areal,97,7101,1182
Conceição De Macabu,89,12524,1896
Natividade,83,9066,1563
Porciúncula,80,9531,1941
Engenheiro Paulo De Frontin,68,8259,993
São Francisco De Itabapoana,63,25911,3348
Sapucaia,62,11697,1918
Santa Maria Madalena,60,6498,842
Rio Das Flores,58,5987,613
Carapebus,56,9392,1330
São José Do Vale Do Rio Preto,52,11892,809
Cambuci,48,9207,1311
Italva,47,8376,711
Comendador Levy Gasparian,41,6207,456
Laje Do Muriaé,38,5240,687
Trajano De Moraes,32,6524,857
Duas Barras,30,7282,787
Aperibé,29,7429,628
Sumidouro,29,10347,1090
Macuco,27,5372,626
Varre-Sai,18,6057,563
Cardoso Moreira,16,8654,509
São Sebastião Do Alto,15,5961,384
São José De Ubá,9,5668,384
