regiao,votos_candidato,votos_validos,votos_esquerda
Rio De Janeiro,113710,3263787,993523
Duque De Caxias,5907,455202,122391
Niterói,5590,295456,123293
São Gonçalo,4073,446137,129176
Nova Iguaçu,3634,420666,75078
Petrópolis,3516,158473,31799
São João De Meriti,2508,250527,38681
Nilópolis,1647,92890,14411
Belford Roxo,1415,234488,25227
Volta Redonda,1207,159882,34129
Mesquita,1019,96706,13851
Magé,956,137748,21456
Teresópolis,904,86286,13240
Macaé,900,118678,33240
Maricá,764,104657,49269
Cabo Frio,701,115183,18513
Valença,695,36468,6674
Rio Das Ostras,685,65085,14703
Campos Dos Goytacazes,658,257600,47436
Itaboraí,641,122626,24756
Angra Dos Reis,522,90631,12628
Barra Mansa,512,94359,18531
Itaguaí,497,65604,8382
Queimados,428,72212,7948
Araruama,387,71618,17553
Resende,378,66490,10090
Saquarema,373,50538,9080
Seropédica,344,41215,5243
Nova Friburgo,316,102347,30423
Barra Do Piraí,302,48439,5965
Itaperuna,254,53135,5371
São Pedro Da Aldeia,248,49615,5168
Mangaratiba,247,26877,3904
Japeri,245,52261,7806
Paracambi,232,24375,4018
Três Rios,216,43771,6477
Rio Bonito,203,32937,4221
Miguel Pereira,182,16963,3324
Guapimirim,170,30359,3243
Armação Dos Búzios,144,23256,3492
Casimiro De Abreu,144,23706,4297
Vassouras,131,20840,3317
Itatiaia,128,17991,3052
Paraty,123,22984,4473
Paraíba Do Sul,117,23751,3008
Cachoeiras De Macacu,113,32284,4467
Iguaba Grande,103,19387,2589
Piraí,99,16313,2486
Arraial Do Cabo,98,22543,3561
Bom Jesus Do Itabapoana,89,21408,3634
Tanguá,81,18889,2113
São Fidélis,79,22119,2314
Paty Do Alferes,69,16931,1957
Santo Antônio De Pádua,66,22880,3003
Mendes,66,11059,1538
Sapucaia,58,11697,1918
Miracema,57,15652,2564
São João Da Barra,56,27605,5243
Rio Claro,53,10675,1713
Quissamã,51,13601,2181
Conceição De Macabu,50,12524,1896
Engenheiro Paulo De Frontin,48,8259,993
Pinheiral,45,13312,3002
Carmo,45,10728,2149
Cordeiro,42,12345,2139
Bom Jardim,42,14541,3309
São José Do Vale Do Rio Preto,41,11892,809
Areal,39,7101,1182
Porto Real,38,12748,1759
Rio Das Flores,37,5987,613
São Francisco De Itabapoana,36,25911,3348
Itaocara,35,14463,1503
Natividade,32,9066,1563
Porciúncula,29,9531,1941
Comendador Levy Gasparian,29,6207,456
Cantagalo,25,11161,1719
Quatis,23,7918,1237
Italva,22,8376,711
Silva Jardim,22,13669,1773
Aperibé,19,7429,628
Carapebus,16,9392,1330
Cardoso Moreira,15,8654,509
Laje Do Muriaé,15,5240,687
Santa Maria Madalena,15,6498,842
Sumidouro,11,10347,1090
São Sebastião Do Alto,9,5961,384
Duas Barras,9,7282,787
Trajano De Moraes,9,6524,857
Cambuci,7,9207,1311
Varre-Sai,5,6057,563
São José De Ubá,5,5668,384
Macuco,2,5372,626
