regiao,votos_candidato,votos_validos,votos_esquerda
Petrópolis,22342,157358,38668
Rio De Janeiro,988,3238916,905967
Areal,279,7000,1145
Três Rios,251,42570,6416
Duque De Caxias,167,453177,66049
Paraíba Do Sul,164,23050,3773
Magé,139,139536,19800
Teresópolis,130,85429,13719
Mesquita,112,96039,11870
São José Do Vale Do Rio Preto,110,11710,1240
Nova Friburgo,87,101787,27723
Niterói,70,292082,124013
Nova Iguaçu,70,420248,60381
São Gonçalo,43,450076,109147
Macaé,43,114597,28299
São João De Meriti,40,252282,29380
Sapucaia,29,11595,2335
Cabo Frio,27,115197,20715
Campos Dos Goytacazes,23,258549,42695
Belford Roxo,19,233136,21103
Comendador Levy Gasparian,18,6142,926
Rio Das Ostras,18,64968,12491
Volta Redonda,18,160396,41402
Itaboraí,14,124891,17737
Barra Mansa,13,93681,25059
Maricá,13,105428,59401
Nilópolis,12,94229,11692
São Pedro Da Aldeia,11,49470,6596
Cachoeiras De Macacu,10,31639,4590
Araruama,9,71261,8940
Miguel Pereira,9,16985,4780
Guapimirim,9,30417,3044
Angra Dos Reis,9,90029,11832
Barra Do Piraí,8,46558,7917
Arraial Do Cabo,8,22383,4582
Queimados,8,72007,8793
Paty Do Alferes,8,17090,6650
Resende,7,67289,5864
Casimiro De Abreu,7,23707,4642
Rio Claro,7,10645,1505
Valença,7,37021,5396
Mendes,7,10919,3589
Bom Jesus Do Itabapoana,7,21527,3360
Itaperuna,7,53372,5044
Vassouras,6,20766,6124
Piraí,6,16450,2083
Armação Dos Búzios,6,23063,3920
São Sebastião Do Alto,6,6000,295
Iguaba Grande,5,19455,1911
Cantagalo,5,11201,1378
Santo Antônio De Pádua,5,23098,2887
Cambuci,4,9258,869
Itatiaia,4,18177,2477
Japeri,4,51894,10906
Seropédica,4,40505,5485
Saquarema,4,51468,6701
Miracema,3,15936,2761
Porciúncula,3,9569,1550
Itaguaí,3,65174,6823
Carmo,3,10486,3306
Cardoso Moreira,3,8583,1091
Rio Das Flores,3,5955,969
Paraty,3,22451,4418
São Fidélis,2,22276,1608
Carapebus,2,9252,3549
Mangaratiba,2,26985,2556
Paracambi,2,24228,7271
Natividade,2,8996,1126
Macuco,2,5431,396
Conceição De Macabu,1,12371,3117
Tanguá,1,18860,2952
Rio Bonito,1,32863,5014
Itaocara,1,14797,1012
Pinheiral,1,13179,2728
Engenheiro Paulo De Frontin,1,8231,1614
Silva Jardim,1,13695,1804
São João Da Barra,1,28262,12975
Varre-Sai,1,6044,902
Cordeiro,1,12451,1313
Sumidouro,0,10163,1357
Quissamã,0,13485,2311
Italva,0,8281,771
Trajano De Moraes,0,6568,686
Aperibé,0,7653,345
Porto Real,0,12814,1789
São José De Ubá,0,5640,810
Laje Do Muriaé,0,5197,1025
Quatis,0,7953,1037
Santa Maria Madalena,0,6486,887
Duas Barras,0,7187,685
Bom Jardim,0,14753,1711
São Francisco De Itabapoana,0,26570,2971
