Candidato,Instagram,Seguidores IG,TikTok,Seguidores TikTok,X (Twitter),Seguidores X,Engajamento médio (%),Observações
Tarcísio Motta,@tarcisiomottapsol,301613,,,@MottaTarcisio,,,
Talíria Petrone,@taliriapetrone,484500,,,@taliriapetrone,,,
Chico Alencar,@chico.alencar,299321,,,@depchicoalencar,,,
Glauber Braga,@glauberbraga_oficial,946712,,,,,,
Henrique Vieira,@pastorhenriquevieira,1498387,,,@pastorhenriquev,,,
Renata Souza,@renatasouzario,202116,,,@renatasouzario,,,
Flávio Serafini,@flavioserafini,168606,,,@serafinipsol,,,
Dani Monteiro,@danimonteiro.psol,68368,@danimonteiro.psol,,@danimontpsol,,,
Mônica Francisco,@monicasfrancisco,43538,,,@monicafpsol,,,
Benny Briolly,@bennybriolly,162312,,,,,,Eleita pelo PSOL em 2022; depois migrou para o PT
Josemar Carvalho,@profjosemarpsol,61239,,,@profjosemarpsol,5757,,Facebook ~34 mil
