regiao,esq_pct_2018,esq_pct_2022,delta_pp,votos_esq_2018,votos_esq_2022
Carmo,40.21,19.06,-21.15,3795,1982
Japeri,32.54,13.63,-18.9,14535,6887
Teresópolis,27.77,14.51,-13.26,20798,12075
Cambuci,23.39,13.57,-9.82,1898,1220
Queimados,18.38,10.19,-8.19,8979,7167
Arraial Do Cabo,22.33,15.13,-7.2,3873,3332
Comendador Levy Gasparian,13.17,6.47,-6.69,679,393
Itaguaí,18.54,11.87,-6.67,10222,7542
Resende,21.08,14.42,-6.66,12516,9299
Santa Maria Madalena,18.23,11.87,-6.36,906,743
São José Do Vale Do Rio Preto,11.34,5.74,-5.6,1196,663
Magé,20.15,14.76,-5.4,21930,19761
Paraíba Do Sul,16.23,11.68,-4.55,3385,2703
Campos Dos Goytacazes,21.17,17.87,-3.3,45789,44818
Petrópolis,22.08,19.03,-3.05,30089,28963
Mesquita,16.34,13.38,-2.95,13023,12552
Laje Do Muriaé,14.84,12.11,-2.73,675,617
Areal,18.43,15.89,-2.54,1182,1098
Piraí,16.45,14.23,-2.22,2304,2260
Angra Dos Reis,15.25,13.08,-2.17,11668,11540
Rio Das Flores,11.3,9.29,-2.01,587,543
Sumidouro,11.49,9.57,-1.93,996,958
Rio Claro,16.78,14.97,-1.81,1533,1542
Mendes,14.16,12.61,-1.55,1334,1351
Rio Bonito,13.76,12.26,-1.5,3981,3939
Três Rios,15.2,13.81,-1.4,5706,5871
Mangaratiba,15.01,13.7,-1.31,3383,3578
Silva Jardim,13.46,12.24,-1.22,1575,1627
Seropédica,12.77,11.67,-1.1,4280,4662
Guapimirim,11.02,9.92,-1.1,2731,2911
Quatis,15.61,14.76,-0.85,1035,1134
São Sebastião Do Alto,6.46,5.9,-0.56,312,342
Macuco,11.41,10.89,-0.52,526,564
Paraty,19.1,18.63,-0.47,3315,4169
Armação Dos Búzios,14.6,14.27,-0.33,2570,3229
Cardoso Moreira,5.73,5.41,-0.32,438,459
Itaocara,10.05,9.76,-0.3,1222,1378
Barra Do Piraí,11.46,11.22,-0.24,4920,5285
Conceição De Macabu,14.54,14.35,-0.19,1494,1746
Nilópolis,14.69,14.67,-0.02,12404,13216
São João Da Barra,17.91,17.89,-0.02,3895,4796
Aperibé,7.62,7.81,0.18,464,568
São Pedro Da Aldeia,9.53,9.76,0.22,3802,4722
Belford Roxo,9.56,9.85,0.28,18835,22529
Duas Barras,9.62,10.07,0.46,577,711
Carapebus,12.45,13.16,0.72,956,1203
Cantagalo,13.72,14.43,0.72,1312,1549
Cachoeiras De Macacu,12.36,13.18,0.82,3426,4142
Engenheiro Paulo De Frontin,10.17,11.12,0.95,724,896
Tanguá,9.18,10.35,1.18,1375,1902
Paracambi,13.88,15.16,1.28,2963,3584
Paty Do Alferes,8.71,10.42,1.72,1244,1714
Sapucaia,13.48,15.43,1.96,1404,1748
Cabo Frio,13.3,15.28,1.99,11931,17156
Santo Antônio De Pádua,10.2,12.28,2.08,2136,2735
Itaperuna,7.18,9.42,2.24,3383,4882
São Fidélis,7.6,9.88,2.27,1442,2130
Itatiaia,13.62,15.89,2.27,2139,2761
Cordeiro,14.42,16.75,2.33,1434,2003
Macaé,24.95,27.49,2.53,22671,31634
São João De Meriti,11.97,14.51,2.54,26209,35008
São Francisco De Itabapoana,9.89,12.43,2.54,2068,3150
Rio De Janeiro,26.86,29.69,2.83,745373,921644
Casimiro De Abreu,14.39,17.41,3.02,2793,4009
Porciúncula,16.25,19.33,3.07,1289,1773
Iguaba Grande,9.49,12.81,3.32,1343,2425
Nova Iguaçu,13.61,16.95,3.34,45916,69030
Italva,4.43,7.89,3.46,334,647
São José De Ubá,2.67,6.23,3.57,135,346
Valença,13.32,16.92,3.6,4309,5927
Varre-Sai,4.89,8.57,3.68,237,506
Trajano De Moraes,8.57,12.36,3.78,462,782
Miracema,11.37,15.36,3.99,1485,2339
Porto Real,8.61,12.64,4.03,974,1563
Bom Jesus Do Itabapoana,11.95,16.02,4.07,2193,3339
Niterói,37.19,41.33,4.14,94115,117250
Itaboraí,15.16,19.48,4.32,14974,23181
Vassouras,9.93,14.47,4.54,1778,2909
Barra Mansa,13.68,18.47,4.79,11367,16805
Quissamã,10.37,15.3,4.92,1039,2016
Miguel Pereira,13.43,18.7,5.27,1881,3076
Pinheiral,15.52,21.69,6.16,1788,2810
Rio Das Ostras,15.43,21.74,6.31,7729,13637
Nova Friburgo,21.27,29.06,7.79,18613,28656
Volta Redonda,12.62,20.52,7.9,18320,31743
Bom Jardim,13.81,21.94,8.12,1644,3070
Saquarema,8.99,17.4,8.4,3432,8558
Natividade,7.74,16.38,8.64,612,1444
Duque De Caxias,17.44,26.21,8.76,65208,115016
São Gonçalo,17.5,28.18,10.68,66854,121210
Araruama,8.93,23.92,14.99,4908,16704
Maricá,16.7,47.14,30.44,7334,47862
