regiao,votos_candidato,votos_validos,votos_esquerda
ICARAÍ,967,36956,13510
SANTA ROSA,732,28421,10620
FONSECA,578,34674,11597
CENTRO,420,16685,6373
SÃO DOMINGOS,237,7111,3062
PIRATININGA,229,16263,5698
BARRETO,210,17216,5083
ITAIPU,209,15198,5225
INGÁ,181,6223,2502
SÃO FRANCISCO,132,10311,3615
BADU,108,11699,2870
VITAL BRASIL,90,3744,1329
VILA PROGRESSO,70,3401,1145
SERRA GRANDE,66,3340,1199
ENGENHO DO MATO,65,3419,1260
LARGO DA BATALHA,62,7695,2116
ENGENHOCA,61,8317,3417
CUBANGO,60,3307,867
SANTA BARBARA,34,6885,2206
SAPÊ,34,5343,1250
ILHA DA CONCEIÇÃO,31,3809,803
JURUJUBA,26,7028,4490
FÁTIMA,26,1299,508
MARIA PAULA,23,3538,1036
ITITIOCA,21,3336,653
TENENTE JARDIM,19,2350,699
CAFUBÁ,19,921,425
CAMBOINHAS,17,1474,416
VÁRZEA DAS MOÇAS,17,2556,1002
CANTAGALO,14,2704,536
BALDEADOR,11,1806,559
RIO DO OURO,10,1781,611
CARAMUJO,9,3354,1416
PONTA D'AREIA,8,1047,411
ITACOATIARA,5,557,192
