regiao,votos_candidato,votos_validos,votos_esquerda
TIJUCA,1249,92295,32094
COPACABANA,912,69326,22507
BOTAFOGO,695,38504,16247
LARANJEIRAS,677,25127,12009
BARRA DA TIJUCA,457,68122,12774
FLAMENGO,404,19065,8072
CATETE,319,19286,7243
LEBLON,296,22740,7055
IPANEMA,290,22378,6864
FREGUESIA JPA,276,36712,7435
TAQUARA,275,68540,10460
RECREIO,264,39602,7455
GRAJAÚ,262,19495,6020
VILA ISABEL,259,30245,8901
MEIER,257,34542,8565
MARACANÃ,240,15633,6055
CAMPO GRANDE,207,186511,37880
ANDARAÍ,203,20263,5732
CENTRO,191,21986,7339
GÁVEA,178,17857,6707
HUMAITA,174,8002,3778
CACHAMBI,144,23466,5296
ENGENHO DE DENTRO,137,28165,5208
JARDIM BOTÂNICO,130,9405,3644
OLARIA,128,29379,5487
LAGOA,123,7890,2892
VILA DA PENHA,121,28992,4890
IRAJÁ,120,48908,6290
JARDIM GUANABARA,120,12093,3050
REALENGO,117,87345,14892
PECHINCHA,117,15188,3310
RIO COMPRIDO,115,20975,5344
URCA,112,5093,1984
ENGENHO NOVO,111,21496,4732
CURICICA,110,33322,4102
GLÓRIA,105,5207,2324
BANGU,104,78564,19626
COSME VELHO,100,4568,1950
BAIRRO DE FÁTIMA,99,5971,2291
PENHA,88,40778,6819
SÃO CRISTÓVÃO,85,21400,6955
PRAÇA SECA,81,29647,4218
RAMOS,80,44874,5808
LEME,79,6742,2198
VILA VALQUEIRE,76,19661,3524
BONSUCESSO,76,59034,7452
TANQUE,76,19961,3187
CASCADURA,73,18858,3042
SANTA CRUZ,68,101264,13465
LAPA,67,2911,1270
TODOS OS SANTOS,66,9900,2487
SANTA TERESA,66,8063,2475
PIEDADE,66,19386,3344
MADUREIRA,65,23847,4067
BRÁS DE PINA,61,17694,2286
PORTUGUESA,60,10242,2107
PADRE MIGUEL,59,41120,8010
GALEÃO,58,13451,2190
MONERÓ,58,8205,1765
SÃO CONRADO,57,24978,9041
VAZ LOBO,55,17859,2723
PENHA CIRCULAR,54,21339,3236
BENTO RIBEIRO,52,15554,2134
MARECHAL HERMES,51,22904,3229
COCOTÁ,50,11470,2045
FREGUESIA (ILHA DO GOVERNADOR),49,8688,1735
ANIL,49,14145,2132
QUINTINO BOCAIUVA,46,17336,2676
CAMORIM,45,11044,1709
HIGIENÓPOLIS,45,15042,3084
PRAÇA DA BANDEIRA,43,8257,2172
PACIÊNCIA,42,58202,8014
ROCHA,39,17361,5668
PILARES,38,14531,2757
VISTA ALEGRE,38,8401,1369
ENGENHO DA RAINHA,38,18923,3140
ANCHIETA,37,36758,3634
ROCHA MIRANDA,37,24820,4022
LINS DE VASCONCELOS,37,9825,1964
DEL CASTILHO,37,8998,1656
CAMPINHO,36,7852,1381
PAVUNA,36,34999,3505
OSWALDO CRUZ,35,15872,2497
JARDIM AMÉRICA,34,19242,2646
JARDIM SULACAP,33,7225,1414
SENADOR CAMARÁ,33,35387,6973
COLÉGIO,33,11445,1388
MAGALHÃES BASTOS,31,17906,2854
RIO DAS PEDRAS,31,28332,1699
VILA KOSMOS,31,6034,1081
BANCÁRIOS,30,9109,1410
RIACHUELO,29,5905,1376
GUARATIBA,29,34656,3975
GUADALUPE,29,25313,3011
VARGEM PEQUENA,29,7736,837
PEDRA DE GUARATIBA,28,19800,1879
CIDADE DE DEUS,27,22672,2426
HONÓRIO GURGEL,26,12768,1499
INHAUMA,26,18979,3062
ITANHANGÁ,24,10682,1043
VARGEM GRANDE,23,8436,900
COELHO NETO,22,14011,1567
INHOAÍBA,21,22969,4243
BENFICA,21,16078,3606
MARIA DA GRAÇA,20,7030,2135
SANTÍSSIMO,20,24979,2823
CORDOVIL,19,21040,2500
ESTÁCIO,19,5183,1048
GARDENIA AZUL,19,10246,1144
COSMOS,19,29523,7075
