regiao,votos_candidato,votos_validos,votos_esquerda
CENTRO,715,19905,5167
QUITANDINHA,210,10893,2986
CASTELANEA,188,4890,1119
MOSELA,182,7235,1534
ITAIPAVA,175,9804,2347
BINGEN,149,4958,1095
ALTO DA SERRA,143,8243,1922
CORREAS,137,10247,1848
VALPARAISO,115,3029,854
CASCATINHA,108,7453,1204
MORIN,103,4330,939
CAPELA,82,2182,478
QUISSAMÃ,79,5673,1184
SÃO SEBASTIÃO,78,3348,703
NOGUEIRA,68,3921,677
RETIRO,63,2917,680
CORONEL VEIGA,57,1935,422
DUARTE SILVEIRA,56,3846,640
SIMÉRIA,52,1648,417
INDEPENDENCIA,49,3765,684
ARARAS,46,4270,443
ESTRADA DA SAUDADE,42,3569,653
CARANGOLA,40,4347,1213
PEDRO DO RIO,31,7868,1803
CHÁCARA FLORA,26,1034,230
QUARTEIRAO BRASILEIRO,21,833,186
FAZENDA INGLESA,18,920,172
ITAMARATI,18,2223,441
SAMAMBAIA,17,1112,170
POSSE,16,5944,2412
CUIABA,13,1128,194
JARDIM SALVADOR,12,887,182
ROSEIRAL,12,1033,188
MOINHO PRETO,8,852,137
CAXAMBU,5,1096,367
GLORIA,1,1052,315
