regiao,votos_candidato,votos_validos,votos_esquerda
TIJUCA,1697,92295,32094
COPACABANA,1145,69326,22507
BOTAFOGO,934,38504,16247
LARANJEIRAS,756,25127,12009
BARRA DA TIJUCA,689,68122,12774
FLAMENGO,489,19065,8072
MEIER,411,34542,8565
VILA ISABEL,405,30245,8901
IPANEMA,381,22378,6864
LEBLON,348,22740,7055
GRAJAÚ,332,19495,6020
MARACANÃ,318,15633,6055
CATETE,285,19286,7243
ANDARAÍ,263,20263,5732
FREGUESIA JPA,253,36712,7435
HUMAITA,252,8002,3778
CENTRO,244,21986,7339
RECREIO,242,39602,7455
CAMPO GRANDE,235,186511,37880
TAQUARA,234,68540,10460
GÁVEA,197,17857,6707
CACHAMBI,196,23466,5296
JARDIM BOTÂNICO,185,9405,3644
JARDIM GUANABARA,175,12093,3050
LAGOA,172,7890,2892
OLARIA,165,29379,5487
RIO COMPRIDO,155,20975,5344
VILA DA PENHA,150,28992,4890
PENHA,137,40778,6819
SANTA CRUZ,136,101264,13465
ENGENHO NOVO,136,21496,4732
ENGENHO DE DENTRO,133,28165,5208
BONSUCESSO,133,59034,7452
CURICICA,130,33322,4102
REALENGO,128,87345,14892
URCA,128,5093,1984
IRAJÁ,126,48908,6290
RAMOS,117,44874,5808
GLÓRIA,117,5207,2324
PECHINCHA,116,15188,3310
LEME,115,6742,2198
TODOS OS SANTOS,109,9900,2487
COSME VELHO,102,4568,1950
VILA VALQUEIRE,99,19661,3524
BANGU,93,78564,19626
BAIRRO DE FÁTIMA,87,5971,2291
SÃO CRISTÓVÃO,82,21400,6955
PIEDADE,81,19386,3344
PORTUGUESA,77,10242,2107
TANQUE,77,19961,3187
GALEÃO,74,13451,2190
ANIL,72,14145,2132
PAVUNA,70,34999,3505
SANTA TERESA,69,8063,2475
SÃO CONRADO,67,24978,9041
ROCHA,66,17361,5668
COCOTÁ,65,11470,2045
MADUREIRA,62,23847,4067
MONERÓ,61,8205,1765
PENHA CIRCULAR,57,21339,3236
HIGIENÓPOLIS,56,15042,3084
ANCHIETA,56,36758,3634
CASCADURA,55,18858,3042
LINS DE VASCONCELOS,52,9825,1964
PRAÇA SECA,52,29647,4218
BRÁS DE PINA,52,17694,2286
FREGUESIA (ILHA DO GOVERNADOR),51,8688,1735
PADRE MIGUEL,50,41120,8010
LAPA,49,2911,1270
QUINTINO BOCAIUVA,49,17336,2676
ROCHA MIRANDA,48,24820,4022
MARECHAL HERMES,47,22904,3229
INHAUMA,47,18979,3062
VAZ LOBO,47,17859,2723
PRAÇA DA BANDEIRA,47,8257,2172
SENADOR CAMARÁ,45,35387,6973
PACIÊNCIA,44,58202,8014
PILARES,43,14531,2757
BANCÁRIOS,42,9109,1410
OSWALDO CRUZ,42,15872,2497
ENGENHO DA RAINHA,42,18923,3140
BENFICA,39,16078,3606
JARDIM AMÉRICA,39,19242,2646
BENTO RIBEIRO,39,15554,2134
CAMPINHO,38,7852,1381
DEL CASTILHO,38,8998,1656
CAMORIM,34,11044,1709
MAGALHÃES BASTOS,32,17906,2854
VILA KOSMOS,32,6034,1081
VARGEM PEQUENA,31,7736,837
RIACHUELO,31,5905,1376
CIDADE DE DEUS,30,22672,2426
VISTA ALEGRE,30,8401,1369
RIO DAS PEDRAS,30,28332,1699
ITANHANGÁ,29,10682,1043
VARGEM GRANDE,28,8436,900
CORDOVIL,27,21040,2500
ENCANTADO,26,6603,1047
GUARATIBA,26,34656,3975
RIBEIRA,26,3302,688
SEPETIBA,26,25892,2034
ESTÁCIO,26,5183,1048
SANTÍSSIMO,26,24979,2823
GARDENIA AZUL,25,10246,1144
COSMOS,25,29523,7075
ÁGUA SANTA,25,4888,756
INHOAÍBA,24,22969,4243
MARIA DA GRAÇA,23,7030,2135
PEDRA DE GUARATIBA,23,19800,1879
JARDIM SULACAP,23,7225,1414
TAUÁ,22,3920,684
RICARDO DE ALBUQUERQUE,22,14751,1327
VIDIGAL,21,6646,1997
HONÓRIO GURGEL,21,12768,1499
ZUMBI,21,4718,822
GUADALUPE,21,25313,3011
SÃO FRANCISCO XAVIER,20,1666,468
CACUIA,18,5476,1003
COLÉGIO,16,11445,1388
ALTO DA BOA VISTA,15,4170,457
CAVALCANTI,15,7560,1395
COELHO NETO,15,14011,1567
TOMÁS COELHO,14,3589,678
VICENTE DE CARVALHO,14,8460,1036
PAQUETÁ,13,1811,534
JACARÉ,12,6599,2700
VILA KENNEDY,12,26446,4425
DEODORO,12,9845,1141
CAJU,11,9550,915
BARRA DE GUARATIBA,11,3443,496
DENDE,11,1891,296
VIGÁRIO GERAL,10,7250,1174
SAUDE,10,2827,682
CIDADE NOVA,10,1362,376
TRIAGEM,9,4866,1273
COSTA BARROS,9,11243,1069
MANGUEIRA,9,3870,1573
FUNDÃO,9,876,185
PITANGUEIRAS,9,2448,387
SANTO CRISTO,8,3301,786
SENADOR VASCONCELOS,8,10077,3779
PARADA DE LUCAS,8,7711,1131
JARDIM BANGU,7,11414,1525
PARQUE COLÚMBIA,6,4548,494
TURIAÇÚ,6,6788,1294
GUARABU,6,1647,299
JACAREPAGUÁ,6,969,200
ENGENHEIRO LEAL,5,1822,279
ILHA DE GUARATIBA,5,7920,666
CATIRI,5,2627,278
GAMBOA,4,2055,460
AUGUSTO VASCONCELOS,4,4559,1332
ACARI,3,5024,674
PARQUE ANCHIETA,2,1683,207
TUBIACANGA,2,880,130
BARROS FILHO,2,3788,180
MANGUINHOS,1,1568,325
TOMAS COELHO,0,2191,327
SÃO JORGE,0,681,123
VILA MILITAR,0,511,51
ROCINHA,0,838,332
