regiao,votos_candidato,votos_validos,votos_esquerda
TIJUCA,1904,92295,32094
COPACABANA,1419,69326,22507
BOTAFOGO,970,38504,16247
BARRA DA TIJUCA,946,68122,12774
LARANJEIRAS,740,25127,12009
TAQUARA,546,68540,10460
BONSUCESSO,533,59034,7452
VILA ISABEL,514,30245,8901
CAMPO GRANDE,496,186511,37880
MEIER,495,34542,8565
FLAMENGO,485,19065,8072
RECREIO,473,39602,7455
FREGUESIA JPA,450,36712,7435
CENTRO,439,21986,7339
CATETE,422,19286,7243
IPANEMA,412,22378,6864
LEBLON,396,22740,7055
GRAJAÚ,370,19495,6020
MARACANÃ,341,15633,6055
ANDARAÍ,331,20263,5732
ENGENHO DE DENTRO,319,28165,5208
GÁVEA,306,17857,6707
CACHAMBI,293,23466,5296
RAMOS,291,44874,5808
REALENGO,278,87345,14892
IRAJÁ,271,48908,6290
CURICICA,262,33322,4102
RIO COMPRIDO,259,20975,5344
HUMAITA,254,8002,3778
VILA DA PENHA,249,28992,4890
OLARIA,248,29379,5487
BANGU,236,78564,19626
ENGENHO NOVO,234,21496,4732
PENHA,212,40778,6819
JARDIM BOTÂNICO,206,9405,3644
JARDIM GUANABARA,198,12093,3050
PECHINCHA,186,15188,3310
SANTA CRUZ,185,101264,13465
VILA VALQUEIRE,184,19661,3524
SÃO CONRADO,179,24978,9041
PRAÇA SECA,177,29647,4218
SÃO CRISTÓVÃO,172,21400,6955
LAGOA,171,7890,2892
PIEDADE,164,19386,3344
MADUREIRA,158,23847,4067
TODOS OS SANTOS,157,9900,2487
TANQUE,154,19961,3187
LEME,153,6742,2198
MARECHAL HERMES,152,22904,3229
ANIL,148,14145,2132
QUINTINO BOCAIUVA,148,17336,2676
PAVUNA,147,34999,3505
HIGIENÓPOLIS,130,15042,3084
URCA,130,5093,1984
GLÓRIA,129,5207,2324
CAMORIM,129,11044,1709
PENHA CIRCULAR,127,21339,3236
CASCADURA,126,18858,3042
INHAUMA,123,18979,3062
PADRE MIGUEL,122,41120,8010
GALEÃO,119,13451,2190
ROCHA,118,17361,5668
PORTUGUESA,115,10242,2107
BENTO RIBEIRO,115,15554,2134
BAIRRO DE FÁTIMA,113,5971,2291
SANTA TERESA,109,8063,2475
ENGENHO DA RAINHA,108,18923,3140
VAZ LOBO,106,17859,2723
ROCHA MIRANDA,104,24820,4022
PACIÊNCIA,102,58202,8014
PILARES,102,14531,2757
COSME VELHO,99,4568,1950
ANCHIETA,98,36758,3634
MONERÓ,97,8205,1765
SENADOR CAMARÁ,96,35387,6973
OSWALDO CRUZ,95,15872,2497
LINS DE VASCONCELOS,94,9825,1964
DEL CASTILHO,87,8998,1656
COCOTÁ,85,11470,2045
CORDOVIL,81,21040,2500
LAPA,80,2911,1270
JARDIM AMÉRICA,79,19242,2646
RIO DAS PEDRAS,77,28332,1699
GUADALUPE,76,25313,3011
COSMOS,73,29523,7075
CIDADE DE DEUS,72,22672,2426
RIACHUELO,71,5905,1376
BENFICA,71,16078,3606
FREGUESIA (ILHA DO GOVERNADOR),71,8688,1735
ITANHANGÁ,71,10682,1043
BRÁS DE PINA,67,17694,2286
GARDENIA AZUL,66,10246,1144
CAMPINHO,64,7852,1381
VILA KOSMOS,63,6034,1081
MAGALHÃES BASTOS,63,17906,2854
PRAÇA DA BANDEIRA,62,8257,2172
ENCANTADO,61,6603,1047
MARIA DA GRAÇA,60,7030,2135
GUARATIBA,60,34656,3975
VARGEM PEQUENA,57,7736,837
SANTÍSSIMO,54,24979,2823
JARDIM SULACAP,53,7225,1414
HONÓRIO GURGEL,53,12768,1499
RICARDO DE ALBUQUERQUE,51,14751,1327
VIDIGAL,50,6646,1997
VISTA ALEGRE,50,8401,1369
BANCÁRIOS,49,9109,1410
INHOAÍBA,49,22969,4243
ZUMBI,48,4718,822
ESTÁCIO,48,5183,1048
CACUIA,46,5476,1003
COELHO NETO,45,14011,1567
VARGEM GRANDE,44,8436,900
JARDIM BANGU,42,11414,1525
VILA KENNEDY,39,26446,4425
RIBEIRA,38,3302,688
VICENTE DE CARVALHO,37,8460,1036
SENADOR VASCONCELOS,36,10077,3779
SÃO FRANCISCO XAVIER,35,1666,468
CAJU,33,9550,915
