regiao,votos_candidato,votos_validos,votos_esquerda
TIJUCA,1497,92295,32094
COPACABANA,1024,69326,22507
BOTAFOGO,678,38504,16247
BARRA DA TIJUCA,521,68122,12774
LARANJEIRAS,519,25127,12009
LEBLON,503,22740,7055
GÁVEA,411,17857,6707
IPANEMA,377,22378,6864
FLAMENGO,372,19065,8072
SÃO CONRADO,343,24978,9041
VILA ISABEL,335,30245,8901
CATETE,312,19286,7243
MEIER,299,34542,8565
MARACANÃ,263,15633,6055
CAMPO GRANDE,255,186511,37880
JARDIM BOTÂNICO,228,9405,3644
GRAJAÚ,224,19495,6020
RECREIO,224,39602,7455
FREGUESIA JPA,224,36712,7435
ANDARAÍ,217,20263,5732
TAQUARA,214,68540,10460
HUMAITA,197,8002,3778
LAGOA,185,7890,2892
CENTRO,174,21986,7339
CACHAMBI,150,23466,5296
RIO COMPRIDO,143,20975,5344
ENGENHO DE DENTRO,140,28165,5208
RAMOS,133,44874,5808
REALENGO,127,87345,14892
JARDIM GUANABARA,127,12093,3050
PENHA,126,40778,6819
OLARIA,120,29379,5487
SÃO CRISTÓVÃO,116,21400,6955
VILA DA PENHA,115,28992,4890
BONSUCESSO,114,59034,7452
BANGU,101,78564,19626
CURICICA,98,33322,4102
LEME,97,6742,2198
TODOS OS SANTOS,89,9900,2487
VILA VALQUEIRE,87,19661,3524
IRAJÁ,86,48908,6290
PECHINCHA,83,15188,3310
MADUREIRA,80,23847,4067
ENGENHO NOVO,80,21496,4732
PRAÇA SECA,76,29647,4218
URCA,73,5093,1984
PIEDADE,72,19386,3344
PENHA CIRCULAR,69,21339,3236
SANTA CRUZ,68,101264,13465
COCOTÁ,67,11470,2045
GLÓRIA,66,5207,2324
CASCADURA,65,18858,3042
MARECHAL HERMES,63,22904,3229
BAIRRO DE FÁTIMA,63,5971,2291
BENTO RIBEIRO,62,15554,2134
COSME VELHO,61,4568,1950
PAVUNA,61,34999,3505
ANCHIETA,58,36758,3634
PORTUGUESA,57,10242,2107
TANQUE,56,19961,3187
