regiao,votos_candidato,votos_validos,votos_esquerda
ICARAÍ,1789,36956,13510
SANTA ROSA,1235,28421,10620
FONSECA,524,34674,11597
CENTRO,414,16685,6373
ITAIPU,373,15198,5225
PIRATININGA,334,16263,5698
SÃO DOMINGOS,332,7111,3062
INGÁ,257,6223,2502
BARRETO,246,17216,5083
SÃO FRANCISCO,211,10311,3615
VITAL BRASIL,148,3744,1329
BADU,116,11699,2870
ENGENHO DO MATO,102,3419,1260
VILA PROGRESSO,85,3401,1145
SERRA GRANDE,84,3340,1199
LARGO DA BATALHA,75,7695,2116
ENGENHOCA,62,8317,3417
SAPÊ,44,5343,1250
MARIA PAULA,39,3538,1036
ILHA DA CONCEIÇÃO,35,3809,803
CUBANGO,35,3307,867
CAMBOINHAS,33,1474,416
JURUJUBA,31,7028,4490
SANTA BARBARA,25,6885,2206
VÁRZEA DAS MOÇAS,21,2556,1002
RIO DO OURO,21,1781,611
CAFUBÁ,20,921,425
CANTAGALO,19,2704,536
FÁTIMA,18,1299,508
TENENTE JARDIM,15,2350,699
ITACOATIARA,14,557,192
CARAMUJO,12,3354,1416
ITITIOCA,8,3336,653
BALDEADOR,6,1806,559
PONTA D'AREIA,6,1047,411
