regiao,votos_candidato,votos_validos,votos_esquerda
CAMPO GRANDE,1750,186511,37880
SANTA CRUZ,1085,101264,13465
TAQUARA,832,68540,10460
REALENGO,822,87345,14892
BANGU,744,78564,19626
BONSUCESSO,705,59034,7452
PACIÊNCIA,676,58202,8014
TIJUCA,670,92295,32094
GUARATIBA,497,34656,3975
RAMOS,480,44874,5808
IRAJÁ,438,48908,6290
COPACABANA,415,69326,22507
PAVUNA,397,34999,3505
SENADOR CAMARÁ,379,35387,6973
SÃO CONRADO,355,24978,9041
RIO DAS PEDRAS,345,28332,1699
PRAÇA SECA,343,29647,4218
PENHA,323,40778,6819
CURICICA,318,33322,4102
COSMOS,317,29523,7075
PADRE MIGUEL,315,41120,8010
RIO COMPRIDO,315,20975,5344
CACHAMBI,299,23466,5296
OLARIA,299,29379,5487
INHOAÍBA,298,22969,4243
CENTRO,292,21986,7339
VILA DA PENHA,290,28992,4890
MADUREIRA,290,23847,4067
MEIER,287,34542,8565
RECREIO,276,39602,7455
ROCHA MIRANDA,274,24820,4022
FREGUESIA JPA,274,36712,7435
PEDRA DE GUARATIBA,269,19800,1879
SANTÍSSIMO,265,24979,2823
TANQUE,262,19961,3187
ENGENHO NOVO,260,21496,4732
ENGENHO DE DENTRO,260,28165,5208
INHAUMA,260,18979,3062
ANCHIETA,257,36758,3634
ENGENHO DA RAINHA,240,18923,3140
MARECHAL HERMES,236,22904,3229
PENHA CIRCULAR,234,21339,3236
GARDENIA AZUL,228,10246,1144
SÃO CRISTÓVÃO,227,21400,6955
CIDADE DE DEUS,226,22672,2426
CASCADURA,220,18858,3042
VILA ISABEL,220,30245,8901
PIEDADE,219,19386,3344
GUADALUPE,219,25313,3011
HIGIENÓPOLIS,209,15042,3084
BARRA DA TIJUCA,208,68122,12774
VAZ LOBO,205,17859,2723
MAGALHÃES BASTOS,202,17906,2854
QUINTINO BOCAIUVA,202,17336,2676
SEPETIBA,201,25892,2034
BENFICA,194,16078,3606
JARDIM AMÉRICA,190,19242,2646
BOTAFOGO,189,38504,16247
VILA KENNEDY,181,26446,4425
GÁVEA,176,17857,6707
OSWALDO CRUZ,174,15872,2497
BENTO RIBEIRO,174,15554,2134
GRAJAÚ,170,19495,6020
ANIL,168,14145,2132
PECHINCHA,168,15188,3310
BRÁS DE PINA,163,17694,2286
COELHO NETO,163,14011,1567
CORDOVIL,163,21040,2500
ROCHA,159,17361,5668
PILARES,154,14531,2757
VILA VALQUEIRE,152,19661,3524
ANDARAÍ,149,20263,5732
CAMORIM,149,11044,1709
GALEÃO,146,13451,2190
SANTA TERESA,145,8063,2475
JARDIM BANGU,139,11414,1525
CATETE,135,19286,7243
PRAÇA DA BANDEIRA,127,8257,2172
ITANHANGÁ,127,10682,1043
CAJU,124,9550,915
LARANJEIRAS,121,25127,12009
VARGEM PEQUENA,121,7736,837
HONÓRIO GURGEL,120,12768,1499
LINS DE VASCONCELOS,114,9825,1964
COLÉGIO,111,11445,1388
COSTA BARROS,110,11243,1069
VIDIGAL,109,6646,1997
CAMPINHO,109,7852,1381
DEODORO,107,9845,1141
FREGUESIA (ILHA DO GOVERNADOR),103,8688,1735
DEL CASTILHO,102,8998,1656
VICENTE DE CARVALHO,101,8460,1036
MARACANÃ,98,15633,6055
COCOTÁ,98,11470,2045
RICARDO DE ALBUQUERQUE,96,14751,1327
TODOS OS SANTOS,94,9900,2487
IPANEMA,93,22378,6864
PORTUGUESA,92,10242,2107
CAVALCANTI,89,7560,1395
MONERÓ,89,8205,1765
SENADOR VASCONCELOS,88,10077,3779
LEBLON,84,22740,7055
MARIA DA GRAÇA,83,7030,2135
VISTA ALEGRE,82,8401,1369
FLAMENGO,80,19065,8072
ILHA DE GUARATIBA,76,7920,666
TRIAGEM,75,4866,1273
TURIAÇÚ,74,6788,1294
JACARÉ,73,6599,2700
BANCÁRIOS,71,9109,1410
ENCANTADO,68,6603,1047
JARDIM SULACAP,67,7225,1414
ESTÁCIO,65,5183,1048
TOMÁS COELHO,64,3589,678
CACUIA,64,5476,1003
JARDIM GUANABARA,63,12093,3050
BAIRRO DE FÁTIMA,62,5971,2291
VARGEM GRANDE,60,8436,900
VIGÁRIO GERAL,59,7250,1174
ACARI,57,5024,674
PARADA DE LUCAS,50,7711,1131
PARQUE COLÚMBIA,49,4548,494
RIACHUELO,47,5905,1376
SANTO CRISTO,47,3301,786
TAUÁ,46,3920,684
VILA KOSMOS,46,6034,1081
ZUMBI,44,4718,822
GAMBOA,44,2055,460
LEME,43,6742,2198
GLÓRIA,42,5207,2324
ÁGUA SANTA,42,4888,756
JARDIM BOTÂNICO,40,9405,3644
TOMAS COELHO,36,2191,327
SAUDE,35,2827,682
MANGUEIRA,35,3870,1573
HUMAITA,33,8002,3778
BARROS FILHO,33,3788,180
PARQUE ANCHIETA,33,1683,207
LAPA,32,2911,1270
AUGUSTO VASCONCELOS,31,4559,1332
ALTO DA BOA VISTA,31,4170,457
COSME VELHO,24,4568,1950
ROCINHA,24,838,332
RIBEIRA,24,3302,688
BARRA DE GUARATIBA,23,3443,496
PITANGUEIRAS,22,2448,387
CIDADE NOVA,20,1362,376
URCA,19,5093,1984
MANGUINHOS,17,1568,325
SÃO FRANCISCO XAVIER,17,1666,468
JACAREPAGUÁ,16,969,200
PAQUETÁ,16,1811,534
CATIRI,16,2627,278
ENGENHEIRO LEAL,16,1822,279
GUARABU,16,1647,299
LAGOA,14,7890,2892
FUNDÃO,14,876,185
SÃO JORGE,13,681,123
VILA MILITAR,5,511,51
DENDE,5,1891,296
TUBIACANGA,4,880,130
