regiao,votos_candidato,votos_validos,votos_esquerda
TIJUCA,1249,92295,32094
COPACABANA,776,69326,22507
BOTAFOGO,590,38504,16247
BARRA DA TIJUCA,541,68122,12774
LARANJEIRAS,479,25127,12009
MEIER,392,34542,8565
TAQUARA,377,68540,10460
VILA ISABEL,374,30245,8901
FLAMENGO,355,19065,8072
CAMPO GRANDE,329,186511,37880
RECREIO,318,39602,7455
CATETE,301,19286,7243
FREGUESIA JPA,296,36712,7435
IRAJÁ,288,48908,6290
REALENGO,287,87345,14892
IPANEMA,261,22378,6864
GRAJAÚ,253,19495,6020
ANDARAÍ,249,20263,5732
MARACANÃ,244,15633,6055
VILA DA PENHA,243,28992,4890
ENGENHO DE DENTRO,240,28165,5208
LEBLON,237,22740,7055
CENTRO,232,21986,7339
CACHAMBI,215,23466,5296
ENGENHO NOVO,211,21496,4732
BONSUCESSO,197,59034,7452
GÁVEA,184,17857,6707
BANGU,183,78564,19626
CURICICA,178,33322,4102
OLARIA,165,29379,5487
VILA VALQUEIRE,154,19661,3524
JARDIM BOTÂNICO,154,9405,3644
PECHINCHA,151,15188,3310
HUMAITA,149,8002,3778
RIO COMPRIDO,144,20975,5344
PRAÇA SECA,131,29647,4218
RAMOS,130,44874,5808
PENHA,128,40778,6819
SÃO CONRADO,125,24978,9041
PIEDADE,124,19386,3344
TODOS OS SANTOS,122,9900,2487
QUINTINO BOCAIUVA,122,17336,2676
JARDIM GUANABARA,118,12093,3050
PAVUNA,117,34999,3505
PENHA CIRCULAR,115,21339,3236
SANTA CRUZ,109,101264,13465
CASCADURA,103,18858,3042
TANQUE,102,19961,3187
ROCHA MIRANDA,100,24820,4022
MADUREIRA,100,23847,4067
VAZ LOBO,98,17859,2723
MARECHAL HERMES,94,22904,3229
JARDIM AMÉRICA,93,19242,2646
SÃO CRISTÓVÃO,91,21400,6955
PILARES,90,14531,2757
ANIL,88,14145,2132
COSME VELHO,88,4568,1950
PADRE MIGUEL,88,41120,8010
ENGENHO DA RAINHA,87,18923,3140
PACIÊNCIA,85,58202,8014
OSWALDO CRUZ,84,15872,2497
ROCHA,84,17361,5668
LAGOA,83,7890,2892
INHAUMA,79,18979,3062
RIACHUELO,77,5905,1376
HIGIENÓPOLIS,74,15042,3084
CAMORIM,73,11044,1709
ANCHIETA,72,36758,3634
BAIRRO DE FÁTIMA,71,5971,2291
GLÓRIA,71,5207,2324
URCA,70,5093,1984
SANTA TERESA,70,8063,2475
PORTUGUESA,67,10242,2107
LEME,66,6742,2198
PEDRA DE GUARATIBA,65,19800,1879
MONERÓ,63,8205,1765
BENTO RIBEIRO,61,15554,2134
JARDIM SULACAP,60,7225,1414
LINS DE VASCONCELOS,60,9825,1964
CIDADE DE DEUS,60,22672,2426
PRAÇA DA BANDEIRA,59,8257,2172
BRÁS DE PINA,56,17694,2286
GALEÃO,56,13451,2190
GARDENIA AZUL,53,10246,1144
SENADOR CAMARÁ,51,35387,6973
GUADALUPE,51,25313,3011
VILA KOSMOS,50,6034,1081
LAPA,49,2911,1270
BENFICA,49,16078,3606
CORDOVIL,49,21040,2500
GUARATIBA,49,34656,3975
COCOTÁ,49,11470,2045
FREGUESIA (ILHA DO GOVERNADOR),48,8688,1735
CAMPINHO,48,7852,1381
VILA KENNEDY,48,26446,4425
MAGALHÃES BASTOS,47,17906,2854
JARDIM BANGU,46,11414,1525
RIO DAS PEDRAS,45,28332,1699
SANTÍSSIMO,45,24979,2823
COSMOS,45,29523,7075
COELHO NETO,44,14011,1567
DEL CASTILHO,44,8998,1656
ENCANTADO,42,6603,1047
VISTA ALEGRE,40,8401,1369
HONÓRIO GURGEL,39,12768,1499
COLÉGIO,39,11445,1388
VIDIGAL,37,6646,1997
ÁGUA SANTA,37,4888,756
VARGEM GRANDE,37,8436,900
ITANHANGÁ,36,10682,1043
SANTO CRISTO,35,3301,786
BANCÁRIOS,34,9109,1410
VICENTE DE CARVALHO,33,8460,1036
DEODORO,33,9845,1141
CAVALCANTI,28,7560,1395
INHOAÍBA,28,22969,4243
TOMÁS COELHO,25,3589,678
CAJU,25,9550,915
VARGEM PEQUENA,25,7736,837
SEPETIBA,24,25892,2034
MARIA DA GRAÇA,24,7030,2135
RIBEIRA,23,3302,688
TRIAGEM,23,4866,1273
ALTO DA BOA VISTA,23,4170,457
CACUIA,22,5476,1003
TURIAÇÚ,21,6788,1294
JACARÉ,21,6599,2700
ESTÁCIO,20,5183,1048
SENADOR VASCONCELOS,20,10077,3779
TAUÁ,19,3920,684
COSTA BARROS,19,11243,1069
RICARDO DE ALBUQUERQUE,18,14751,1327
VIGÁRIO GERAL,17,7250,1174
PARADA DE LUCAS,17,7711,1131
ZUMBI,17,4718,822
SÃO FRANCISCO XAVIER,15,1666,468
SAUDE,15,2827,682
CIDADE NOVA,14,1362,376
GAMBOA,11,2055,460
ILHA DE GUARATIBA,11,7920,666
MANGUEIRA,10,3870,1573
JACAREPAGUÁ,9,969,200
ACARI,9,5024,674
PARQUE COLÚMBIA,9,4548,494
TOMAS COELHO,8,2191,327
PAQUETÁ,8,1811,534
PITANGUEIRAS,8,2448,387
GUARABU,6,1647,299
AUGUSTO VASCONCELOS,6,4559,1332
ENGENHEIRO LEAL,5,1822,279
BARROS FILHO,5,3788,180
CATIRI,4,2627,278
BARRA DE GUARATIBA,4,3443,496
FUNDÃO,4,876,185
SÃO JORGE,2,681,123
PARQUE ANCHIETA,2,1683,207
DENDE,2,1891,296
MANGUINHOS,2,1568,325
ROCINHA,1,838,332
TUBIACANGA,0,880,130
VILA MILITAR,0,511,51
