regiao,votos_candidato,votos_validos,votos_esquerda
CAMPO GRANDE,7297,186511,37880
SANTA CRUZ,918,101264,13465
BANGU,881,78564,19626
REALENGO,682,87345,14892
GUARATIBA,564,34656,3975
PACIÊNCIA,540,58202,8014
INHOAÍBA,409,22969,4243
COSMOS,372,29523,7075
SANTÍSSIMO,367,24979,2823
TIJUCA,330,92295,32094
SENADOR CAMARÁ,328,35387,6973
PADRE MIGUEL,271,41120,8010
PEDRA DE GUARATIBA,266,19800,1879
RECREIO,265,39602,7455
SENADOR VASCONCELOS,257,10077,3779
TAQUARA,236,68540,10460
BARRA DA TIJUCA,212,68122,12774
COPACABANA,179,69326,22507
MEIER,164,34542,8565
SEPETIBA,159,25892,2034
FREGUESIA JPA,130,36712,7435
ILHA DE GUARATIBA,120,7920,666
IRAJÁ,119,48908,6290
BARRA DE GUARATIBA,119,3443,496
MAGALHÃES BASTOS,114,17906,2854
VILA DA PENHA,111,28992,4890
JARDIM BANGU,111,11414,1525
BOTAFOGO,109,38504,16247
ENGENHO DE DENTRO,109,28165,5208
MARECHAL HERMES,105,22904,3229
CACHAMBI,104,23466,5296
VILA VALQUEIRE,102,19661,3524
VILA ISABEL,99,30245,8901
VILA KENNEDY,96,26446,4425
LARANJEIRAS,95,25127,12009
PRAÇA SECA,92,29647,4218
CURICICA,80,33322,4102
OLARIA,75,29379,5487
RAMOS,74,44874,5808
PENHA,74,40778,6819
MARACANÃ,73,15633,6055
CATETE,73,19286,7243
FLAMENGO,73,19065,8072
TANQUE,71,19961,3187
PECHINCHA,70,15188,3310
CASCADURA,69,18858,3042
JARDIM SULACAP,67,7225,1414
CENTRO,66,21986,7339
AUGUSTO VASCONCELOS,65,4559,1332
PIEDADE,64,19386,3344
ANDARAÍ,63,20263,5732
MADUREIRA,63,23847,4067
ANCHIETA,57,36758,3634
GRAJAÚ,57,19495,6020
IPANEMA,52,22378,6864
BONSUCESSO,52,59034,7452
TODOS OS SANTOS,52,9900,2487
ANIL,51,14145,2132
PILARES,50,14531,2757
BENTO RIBEIRO,50,15554,2134
VARGEM GRANDE,49,8436,900
OSWALDO CRUZ,48,15872,2497
QUINTINO BOCAIUVA,48,17336,2676
PAVUNA,48,34999,3505
LEBLON,46,22740,7055
ENGENHO DA RAINHA,45,18923,3140
DEL CASTILHO,45,8998,1656
INHAUMA,45,18979,3062
ENGENHO NOVO,45,21496,4732
PENHA CIRCULAR,44,21339,3236
CAMORIM,42,11044,1709
GUADALUPE,40,25313,3011
BRÁS DE PINA,40,17694,2286
HIGIENÓPOLIS,39,15042,3084
SÃO CRISTÓVÃO,39,21400,6955
RIO COMPRIDO,39,20975,5344
ROCHA MIRANDA,37,24820,4022
JARDIM GUANABARA,36,12093,3050
RICARDO DE ALBUQUERQUE,31,14751,1327
VAZ LOBO,29,17859,2723
HUMAITA,28,8002,3778
SÃO JORGE,27,681,123
JARDIM AMÉRICA,27,19242,2646
COCOTÁ,27,11470,2045
CORDOVIL,26,21040,2500
ROCHA,26,17361,5668
SÃO CONRADO,26,24978,9041
GÁVEA,26,17857,6707
LINS DE VASCONCELOS,26,9825,1964
GALEÃO,25,13451,2190
CIDADE DE DEUS,25,22672,2426
HONÓRIO GURGEL,25,12768,1499
FREGUESIA (ILHA DO GOVERNADOR),24,8688,1735
VARGEM PEQUENA,23,7736,837
URCA,23,5093,1984
RIO DAS PEDRAS,23,28332,1699
