regiao,votos_candidato,votos_validos,votos_esquerda
Zona 16,1433,65472,27011
Zona 4,1385,64513,27437
Zona 7,895,60047,19852
Zona 170,883,74550,21891
Zona 5,854,58790,18957
Zona 17,817,58446,18220
Zona 229,612,60682,18578
Zona 119,600,84957,14775
Zona 9,528,87589,14243
Zona 214,475,74654,15215
Zona 211,408,56801,21212
Zona 204,334,59686,16563
Zona 182,262,61833,8057
Zona 191,258,56794,9930
Zona 192,246,34637,6698
Zona 179,243,85142,9519
Zona 185,233,61793,9501
Zona 162,232,68474,10043
Zona 216,225,47219,9297
Zona 188,217,76192,11510
Zona 180,211,50000,7522
Zona 8,199,50093,14678
Zona 14,175,49037,8266
Zona 218,149,57167,8984
Zona 22,146,66398,7812
Zona 176,142,54488,7199
Zona 10,142,48071,7208
Zona 169,110,51074,11455
Zona 219,106,62825,6628
Zona 233,99,61378,11793
Zona 21,98,52939,7466
Zona 23,88,47136,5536
Zona 118,84,36945,5537
Zona 238,83,66201,12278
Zona 161,78,55019,6585
Zona 234,78,47827,8575
Zona 245,74,61643,11201
Zona 123,72,54300,6381
Zona 242,66,41933,8047
Zona 24,57,58344,15328
Zona 122,50,51920,9337
Zona 25,48,56516,6311
Zona 243,45,50210,5625
Zona 167,45,41444,3452
Zona 246,44,66864,15337
Zona 120,43,51125,12106
Zona 125,43,56208,7724
Zona 241,40,43450,4528
Zona 230,32,38920,5890
