regiao,votos_candidato,votos_validos,votos_esquerda
Zona 4,1803,64513,27437
Zona 16,1465,65472,27011
Zona 170,1210,74550,21891
Zona 7,1140,60047,19852
Zona 5,1111,58790,18957
Zona 17,961,58446,18220
Zona 229,893,60682,18578
Zona 119,739,84957,14775
Zona 214,663,74654,15215
Zona 9,582,87589,14243
Zona 211,559,56801,21212
Zona 204,382,59686,16563
Zona 192,337,34637,6698
Zona 191,332,56794,9930
Zona 162,302,68474,10043
Zona 216,297,47219,9297
Zona 188,282,76192,11510
Zona 179,273,85142,9519
Zona 8,268,50093,14678
Zona 182,243,61833,8057
Zona 185,214,61793,9501
Zona 14,207,49037,8266
Zona 180,204,50000,7522
Zona 169,166,51074,11455
Zona 10,163,48071,7208
Zona 22,146,66398,7812
Zona 21,135,52939,7466
Zona 176,132,54488,7199
Zona 161,129,55019,6585
Zona 218,124,57167,8984
Zona 219,105,62825,6628
Zona 238,97,66201,12278
Zona 125,93,56208,7724
Zona 245,90,61643,11201
Zona 123,88,54300,6381
Zona 233,86,61378,11793
Zona 234,83,47827,8575
Zona 118,74,36945,5537
Zona 23,73,47136,5536
Zona 120,73,51125,12106
Zona 25,69,56516,6311
Zona 24,65,58344,15328
Zona 167,63,41444,3452
Zona 122,62,51920,9337
Zona 246,59,66864,15337
Zona 243,51,50210,5625
Zona 242,46,41933,8047
Zona 241,34,43450,4528
Zona 230,24,38920,5890
