regiao,votos_candidato,votos_validos,votos_esquerda
Zona 4,1839,64513,27437
Zona 16,1692,65472,27011
Zona 170,1448,74550,21891
Zona 5,1360,58790,18957
Zona 7,1357,60047,19852
Zona 17,1164,58446,18220
Zona 119,1126,84957,14775
Zona 9,1065,87589,14243
Zona 229,1024,60682,18578
Zona 214,997,74654,15215
Zona 211,774,56801,21212
Zona 204,712,59686,16563
Zona 161,568,55019,6585
Zona 179,549,85142,9519
Zona 182,549,61833,8057
Zona 216,541,47219,9297
Zona 191,511,56794,9930
Zona 185,499,61793,9501
Zona 162,496,68474,10043
Zona 188,482,76192,11510
Zona 8,476,50093,14678
Zona 14,467,49037,8266
Zona 192,449,34637,6698
Zona 180,431,50000,7522
Zona 10,368,48071,7208
Zona 22,354,66398,7812
Zona 169,325,51074,11455
Zona 218,308,57167,8984
Zona 21,293,52939,7466
Zona 176,260,54488,7199
Zona 23,247,47136,5536
Zona 219,226,62825,6628
Zona 233,219,61378,11793
Zona 245,192,61643,11201
Zona 118,188,36945,5537
Zona 238,181,66201,12278
Zona 234,177,47827,8575
Zona 24,173,58344,15328
Zona 123,168,54300,6381
Zona 122,162,51920,9337
Zona 246,141,66864,15337
Zona 120,125,51125,12106
Zona 125,124,56208,7724
Zona 242,118,41933,8047
Zona 167,110,41444,3452
Zona 25,96,56516,6311
Zona 230,87,38920,5890
Zona 243,86,50210,5625
Zona 241,78,43450,4528
