regiao,votos_candidato,votos_validos,votos_esquerda
Zona 4,1320,64513,27437
Zona 17,1173,58446,18220
Zona 16,1089,65472,27011
Zona 211,1069,56801,21212
Zona 7,1063,60047,19852
Zona 5,967,58790,18957
Zona 170,937,74550,21891
Zona 229,751,60682,18578
Zona 119,575,84957,14775
Zona 214,517,74654,15215
Zona 9,489,87589,14243
Zona 204,341,59686,16563
Zona 191,296,56794,9930
Zona 162,269,68474,10043
Zona 216,249,47219,9297
Zona 192,233,34637,6698
Zona 185,229,61793,9501
Zona 8,226,50093,14678
Zona 188,219,76192,11510
Zona 182,203,61833,8057
Zona 14,182,49037,8266
Zona 180,174,50000,7522
Zona 179,172,85142,9519
Zona 10,155,48071,7208
Zona 176,142,54488,7199
Zona 161,133,55019,6585
Zona 218,130,57167,8984
Zona 169,129,51074,11455
Zona 22,118,66398,7812
Zona 21,109,52939,7466
Zona 23,107,47136,5536
Zona 118,106,36945,5537
Zona 245,93,61643,11201
Zona 233,91,61378,11793
Zona 219,88,62825,6628
Zona 122,82,51920,9337
Zona 238,82,66201,12278
Zona 123,75,54300,6381
Zona 234,66,47827,8575
Zona 242,62,41933,8047
Zona 24,59,58344,15328
Zona 167,57,41444,3452
Zona 120,53,51125,12106
Zona 246,50,66864,15337
Zona 125,49,56208,7724
Zona 243,38,50210,5625
Zona 241,35,43450,4528
Zona 25,28,56516,6311
Zona 230,9,38920,5890
