regiao,votos_candidato,votos_validos,votos_esquerda
Zona 179,1135,85142,9519
Zona 204,805,59686,16563
Zona 246,785,66864,15337
Zona 214,783,74654,15215
Zona 188,743,76192,11510
Zona 182,741,61833,8057
Zona 229,737,60682,18578
Zona 219,717,62825,6628
Zona 9,717,87589,14243
Zona 185,707,61793,9501
Zona 21,700,52939,7466
Zona 161,694,55019,6585
Zona 211,693,56801,21212
Zona 245,689,61643,11201
Zona 180,687,50000,7522
Zona 243,674,50210,5625
Zona 169,668,51074,11455
Zona 238,668,66201,12278
Zona 22,666,66398,7812
Zona 125,659,56208,7724
Zona 162,651,68474,10043
Zona 25,639,56516,6311
Zona 218,629,57167,8984
Zona 216,627,47219,9297
Zona 10,604,48071,7208
Zona 170,604,74550,21891
Zona 122,601,51920,9337
Zona 24,589,58344,15328
Zona 241,588,43450,4528
Zona 191,582,56794,9930
Zona 14,579,49037,8266
Zona 16,561,65472,27011
Zona 233,543,61378,11793
Zona 234,541,47827,8575
Zona 8,539,50093,14678
Zona 119,529,84957,14775
Zona 176,519,54488,7199
Zona 7,473,60047,19852
Zona 118,472,36945,5537
Zona 23,461,47136,5536
Zona 123,453,54300,6381
Zona 120,439,51125,12106
Zona 242,417,41933,8047
Zona 167,416,41444,3452
Zona 5,367,58790,18957
Zona 230,340,38920,5890
Zona 4,321,64513,27437
Zona 192,319,34637,6698
Zona 17,293,58446,18220
