regiao,votos_candidato,votos_validos,votos_esquerda
Zona 4,1164,64513,27437
Zona 16,1129,65472,27011
Zona 170,1032,74550,21891
Zona 7,836,60047,19852
Zona 214,782,74654,15215
Zona 5,737,58790,18957
Zona 229,724,60682,18578
Zona 119,678,84957,14775
Zona 9,671,87589,14243
Zona 17,665,58446,18220
Zona 211,522,56801,21212
Zona 216,434,47219,9297
Zona 204,431,59686,16563
Zona 188,404,76192,11510
Zona 185,403,61793,9501
Zona 179,397,85142,9519
Zona 22,351,66398,7812
Zona 8,343,50093,14678
Zona 182,342,61833,8057
Zona 14,326,49037,8266
Zona 10,325,48071,7208
Zona 180,324,50000,7522
Zona 162,307,68474,10043
Zona 191,291,56794,9930
Zona 218,267,57167,8984
Zona 176,249,54488,7199
Zona 192,245,34637,6698
Zona 219,214,62825,6628
Zona 169,209,51074,11455
Zona 161,203,55019,6585
Zona 21,186,52939,7466
Zona 233,183,61378,11793
Zona 234,178,47827,8575
Zona 118,156,36945,5537
Zona 24,134,58344,15328
Zona 123,131,54300,6381
Zona 23,123,47136,5536
Zona 238,120,66201,12278
Zona 245,111,61643,11201
Zona 243,108,50210,5625
Zona 120,103,51125,12106
Zona 122,103,51920,9337
Zona 246,101,66864,15337
Zona 230,98,38920,5890
Zona 167,87,41444,3452
Zona 25,73,56516,6311
Zona 242,70,41933,8047
Zona 241,70,43450,4528
Zona 125,66,56208,7724
