regiao,votos_candidato,votos_validos,votos_esquerda
Zona 245,2821,61643,11201
Zona 120,2090,51125,12106
Zona 242,1578,41933,8047
Zona 122,1516,51920,9337
Zona 243,965,50210,5625
Zona 246,829,66864,15337
Zona 238,813,66201,12278
Zona 233,628,61378,11793
Zona 125,571,56208,7724
Zona 25,511,56516,6311
Zona 9,492,87589,14243
Zona 24,486,58344,15328
Zona 241,449,43450,4528
Zona 234,344,47827,8575
Zona 185,289,61793,9501
Zona 214,277,74654,15215
Zona 170,271,74550,21891
Zona 119,249,84957,14775
Zona 16,245,65472,27011
Zona 7,238,60047,19852
Zona 4,233,64513,27437
Zona 230,228,38920,5890
Zona 123,222,54300,6381
Zona 182,204,61833,8057
Zona 216,201,47219,9297
Zona 180,188,50000,7522
Zona 179,183,85142,9519
Zona 162,175,68474,10043
Zona 14,173,49037,8266
Zona 188,171,76192,11510
Zona 229,170,60682,18578
Zona 5,169,58790,18957
Zona 8,159,50093,14678
Zona 218,158,57167,8984
Zona 10,152,48071,7208
Zona 22,141,66398,7812
Zona 204,132,59686,16563
Zona 17,132,58446,18220
Zona 23,126,47136,5536
Zona 176,117,54488,7199
Zona 191,113,56794,9930
Zona 169,110,51074,11455
Zona 118,105,36945,5537
Zona 21,98,52939,7466
Zona 192,85,34637,6698
Zona 219,82,62825,6628
Zona 211,77,56801,21212
Zona 161,53,55019,6585
Zona 167,53,41444,3452
